hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
a1fb4bacbd592bd7821ffb7a9969e30f,rand_net50-40-10.shuffled.cnf,unsat,unsat,45.53,15.903,0.667,5.087,38.515,13.933
a20513522dc3ed9620fdadbf8cbc491c,rook-76-1-1.cnf,unsat,unsat,10000.0,10000.0,10000.0,718.134,10000.0,10000.0
a226b8099697bd0be93f4dd7b77d6fc0,velev-vliw-uns-4.0-9-i1.cnf,unsat,unsat,10000.0,138.983,289.32,599.284,10000.0,3057.658
a2331da54f79c586615d9e709f452432,gensys-brn007.shuffled-as.sat05-2684.cnf,unsat,unsat,54.132,58.132,3.67,15.411,115.606,10.685
a2392859bd6719021ced9756c30c8933,c499_gr_2pin_w5.shuffled.cnf,unsat,unsat,6.058,2.78,0.72,0.27,1.049,6.247
a24ce4beb8c7dd7e5453e2a0456af8ee,hwb-n22-01-S1917708524.shuffled-as.sat03-1612.cnf,unsat,unsat,38.902,23.165,5.069,68.523,204.735,14.285
a25fe456583c0982f43df1c5f2e8e773,b1904P3-8x8c11h7UNSAT.cnf,unsat,unsat,1749.077,10000.0,78.334,289.61,10000.0,812.457
a2c261d05e11ef8a6a53ee5cac718c81,queueinvar4.cnf,unsat,unsat,0.788,0.859,0.77,0.05,1.279,2.715
a2e950fdbbf83a939cbbf48ed0b7339f,dp07u06.shuffled.cnf,unsat,unsat,3.046,0.715,0.868,0.247,2.524,3.422
a30eea82c2a92f80cb9a2152af817bce,3pipe_1_ooo.cnf,unsat,unsat,26.226,1.202,1.168,1.184,15.662,8.281
a3224c7545811cb0dda83f00d9ce6ad7,c10bi.cnf,unsat,unsat,878.377,19.558,54.814,63.444,1181.872,417.463
a32c569c987b9e2f00cccc5124efcf75,VanDerWaerden_pd_2-3-18_300.cnf,unsat,unsat,27.413,75.243,3.071,19.649,275.519,10000.0
a37b83b23f52f6ebd06c5769584a4b3e,hsat_vc11803.cnf,unsat,unsat,65.405,33.61,1.975,0.922,13.368,37.489
