hash,benchmark,verified-result,claimed-result,CaDiCaL-watchsat-lto,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat-MAB-rephasing,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,Kissat_cfexp,LSTech_CaDiCaL,LSTech_Maple,LSTech_kissat,LStech-Maple-BandSAT,LStech-Maple-FPS,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,MergeSat 4.0-rc-rc3,SLIME SC-2022,SLIME SC-2022-alpha,SLIME SC-2022-beta,SLIME SC-2022-gamma,SeqFROST-ERE-All,SeqFROST-NoExtend,cadical-hack-gb,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-db-v2,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hCaD_V2,hKis-psids,hKis-sat,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-els-v3,kissat-els-v4,kissat-mab-gb,kissat-sc2022-bulky,kissat-sc2022-hyper,kissat-sc2022-light,kissat-watchsat-lto,kissat_inc,kissat_pre,kissat_relaxed
4513c58c16e72a34f9f8518db7baeb9e,ktf_TF-3.tf_3_0.02_24.cnf.xz,unsat,unsat,157.032,205.642,194.84,162.435,225.975,538.798,271.03,183.429,212.664,214.031,191.225,260.405,203.453,163.328,167.528,227.784,243.888,186.53,192.864,182.702,229.799,185.127,196.603,158.699,150.739,137.23,137.875,179.018,186.725,210.295,188.031,200.604,167.302,149.79,141.653,136.169,224.251,198.998,220.535,261.216,280.974,282.154,197.775,233.568,259.558,245.11,270.158,189.952,191.132,223.282
488b147304549670f31653c932684e2c,sin-mitern28.cnf.xz,unsat,unsat,94.9237,106.704,107.054,91.5113,90.8889,449.353,132.265,144.07,134.467,144.796,144.622,118.114,113.893,91.2143,170.345,151.382,181.186,171.983,183.96,177.814,255.935,170.928,171.713,160.798,169.38,216.85,211.574,96.539,95.7952,145.537,141.414,145.69,117.057,91.8838,91.8469,145.261,96.4144,115.048,114.154,123.874,129.664,130.219,132.286,137.077,165.037,125.63,160.878,138.025,131.161,102.619
48eacbc152c7710dfd6fe17a8a17199e,SCPC-500-7.cnf.xz,unsat,unsat,77.1717,96.9085,89.2574,100.154,76.2151,356.806,104.641,204.782,205.307,164.615,204.97,68.7886,146.72,66.4553,191.275,216.778,154.864,150.928,152.995,98.6934,222.98,198.17,198.726,176.445,157.098,175.879,218.128,65.5744,93.5525,223.851,207.183,214.565,187.207,101.2,67.6372,231.592,139.575,143.996,73.6222,85.7293,84.7099,108.676,186.783,82.4754,74.7295,82.6343,99.36,189.62,159.26,157.105
4a85e090bda23cef9bf2aed55d489ab6,sin_depth_miter_5.cnf.xz,unsat,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4852.54,4803.66,10000.0,10000.0,4589.26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
4f888358cd62fe7bc602ea6882cdfc6d,bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf.xz,unsat,unsat,812.654,859.369,864.635,724.479,856.025,4856.48,882.071,801.247,868.683,873.994,836.398,811.256,607.511,784.808,743.36,921.294,897.393,813.181,741.828,1263.97,1746.47,961.054,964.166,2278.45,998.895,691.889,685.369,773.135,866.003,828.512,868.409,817.005,985.404,782.385,897.499,709.043,588.329,576.196,1790.49,1169.06,851.299,1040.23,782.746,886.497,887.327,913.474,1118.78,821.323,816.48,593.369
567964f034c8ffa65952897ce4927c6c,ablmulub16x4o.cnf.xz,unsat,unsat,219.349,224.967,222.937,239.37,230.198,533.776,181.166,154.168,152.214,175.333,159.27,191.933,132.024,229.632,342.747,185.863,399.717,272.097,342.599,358.214,428.996,359.373,393.85,328.555,378.426,317.492,321.488,230.824,249.755,156.747,155.398,164.008,258.057,154.496,220.364,131.064,116.322,147.549,174.098,179.693,217.606,180.234,171.879,176.6,200.963,159.084,219.6,175.08,155.37,129.264
594b07c07aee036a7aca35d44e2316da,div-mitern168.cnf.xz,unsat,unsat,1010.85,1142.43,1316.22,1081.0,1030.84,10000.0,655.671,506.962,528.403,525.58,526.356,665.514,993.019,918.495,1498.3,1127.93,1715.34,1440.34,1483.3,905.037,3152.43,1344.11,1358.49,1403.72,1529.69,558.029,619.273,1132.2,1134.15,555.725,579.277,557.639,1883.4,1025.91,1090.68,522.278,952.5,435.24,1260.81,669.196,797.033,633.093,627.173,556.956,610.707,618.019,660.472,571.329,497.566,893.998
59e596f5f845a2487370950b37ec3db2,aws-encryption-sdk-c:aws_cryptosdk_enc_ctx_size.cnf.xz,unsat,unsat,793.371,799.383,779.068,736.165,1775.09,10000.0,1487.78,873.701,751.02,753.156,750.377,1455.06,747.612,727.391,10000.0,10000.0,912.062,896.12,684.184,729.404,634.751,913.549,785.726,746.4,757.453,1265.15,10000.0,812.137,801.068,778.345,933.858,565.591,574.623,1036.86,747.211,551.967,560.018,584.997,1461.82,1464.16,1372.48,1468.82,640.212,1145.9,1657.28,1631.66,1500.92,899.374,992.887,945.955
5cc5e3d24402696ed4ec03edfa42d663,sudoku-N30-24.cnf.xz,unsat,unsat,364.697,400.7,422.583,352.625,918.699,10000.0,516.633,196.021,330.341,189.604,190.361,494.684,1008.2,352.423,445.463,2974.22,323.676,294.243,303.378,292.011,260.665,450.47,464.434,274.989,288.438,142.185,141.169,375.924,331.593,201.98,266.753,270.559,274.608,257.836,323.804,180.754,549.089,193.964,442.383,511.622,525.822,551.542,221.928,531.726,506.615,382.876,494.441,265.247,334.415,556.921
5d357f1e4b5abc96c90d305f629edd5c,ps_200_323_70.cnf.xz,unsat,unsat,111.817,130.376,136.611,42.5825,239.851,82.0866,100.702,189.895,254.713,864.436,1049.75,80.9428,258.02,102.324,1482.31,10000.0,80.1534,957.977,136.207,330.8,102.158,401.085,408.896,543.056,146.021,34.2272,40.4266,97.1559,114.489,484.111,222.027,239.13,278.374,83.1384,110.545,63.311,1728.51,276.146,10000.0,667.8,164.843,101.862,29.8756,34.5328,35.9822,32.1412,1902.19,60.0238,84.8708,524.652
