hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,pakismab22,pmcomsps
076fba8945d3a54a06f326474477077d,mrpp_6x6#12_9.cnf,sat,sat,12.265,8.003,1.168,1.027,6.82,2.845
0779cddacfa34241cdf579cb2370ab8e,instance_n8_i9_pp_ci_ce.cnf,sat,sat,3989.339,10000.0,939.977,10000.0,10000.0,10000.0
0779ed19ae69bf464cce003d1a573246,008.cnf,sat,sat,506.84,616.971,777.667,34.773,651.577,38.657
07c3cce524e2b85d8315ac4397ef08c4,puzzle47_sat.cnf,unknown,sat,10000.0,10000.0,3113.028,10000.0,10000.0,10000.0
07d20a83feca9295e862a7d583da5971,UTI-20-10t1.cnf,sat,sat,49.385,53.326,5.195,10.983,7.706,136.201
080896c437245ac25eb6d3ad6df12c4f,bv-term-small-rw_1492.smt2.cnf,sat,sat,6.786,0.206,82.375,1.314,1.504,2.76
0810eb03d022334fdd1d5a6ad4969d47,gss-18-s100.cnf,sat,sat,547.178,24.172,3.28,4.923,12.616,198.535
083030713683d8ab8e1d54372f241863,Kakuro-easy-089-ext.xml.hg_4.cnf,sat,sat,626.397,1190.763,122.885,123.597,305.935,10000.0
0842eb01dc00232edc0b26ccb2f19f25,6-4-6-sc2018.cnf,sat,sat,2758.256,1273.895,1032.67,10000.0,10000.0,10000.0
08530caa5c9232f2ffc5163cf79b38e7,satcoin-genesis-SAT-64.cnf,sat,sat,21.148,75.019,6.459,27.254,348.013,47.736
0876c518e5653369e20fb1ee0bb8db40,mp1-klieber2017s-0500-023-t12.cnf,sat,sat,324.168,1094.431,14.078,41.723,536.999,41.825
088ffd086f2d5e55553d5e79aa30aaf5,4col280_9_9.shuffled.cnf,sat,sat,10000.0,10000.0,96.258,10000.0,10000.0,10000.0
089456508f74be2d96f4112cc495f80a,Eternity-10-06_c18.cnf,sat,sat,619.348,10000.0,31.115,435.854,1108.253,106.221
08a68ba9d062c0856f1bc9cce7907b11,sgi-difficult4.cnf,sat,sat,0.804,3.584,82.062,0.075,1.571,2.549
08b6f45c900d30fb65462a65df69e214,transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.060-SAT.cnf,sat,sat,110.868,193.162,159.207,646.521,833.095,175.378
08e151e72fe10402a49463171aa557e8,abw-V-nos6.mtx-w220.cnf,sat,sat,10000.0,4180.813,10000.0,334.553,10000.0,10000.0
08fd5d81bf1af056edf0f4d1778f0834,AProVE09-03.cnf,sat,sat,8.584,32.328,0.97,0.713,5.235,9.593
0900255c001ced2b14a6cadc0403967e,mrpp_8x8#24_14.cnf,sat,sat,50.056,35.436,18.659,17.633,551.768,31.759
090f37bba39891c7cf3bed2ace26ca92,rbsat-v945c61409gyes2.cnf,sat,sat,77.479,2106.022,12.679,91.329,53.607,67.398
0949ba00fc83c074bb2db981a543756f,blocks-blocks-36-0.160-NOTKNOWN.cnf,sat,sat,296.591,919.624,2302.461,52.767,682.555,10000.0
09637d3bd641b4d733666a862e8918ea,mrpp_8x8#20_14.cnf,sat,sat,122.9,104.359,245.095,8.569,82.206,54.645
0973e4a7d566ff12e7316cf0304ac1f4,genurq25Sat.shuffled-as.sat03-1507.cnf,sat,sat,32.063,2.424,0.671,1.619,2.191,4.798
