hash,benchmark,verified-result,claimed-result,dps,gimsatul,mallob-ki,mergesat-aws,nps,pakis22,pakismab22,parkissat-rs,pkissat,pmcomsps
45784477d3143f470c0bd0137a1c01ed,sum_of_three_cubes_still_open.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
45ec40c74fdbf2fe41122ac1e31e6c8e,worker_30_120_30_0.8.cnf,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
47135a1fd4c86afbfec0c7879c45268b,SC22_Timetable_C_451_E_46_Cl_30_S_27.cnf,sat,sat,741.312,10000.0,10000.0,288.168,4285.088,10000.0,10000.0,148.035,10000.0,10000.0
47a1a6f5687ed19c5c0f77c2c81f3f81,tseitin_grid_n14_m14.cnf,unknown,unsat,10000.0,10000.0,1.008,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
488b147304549670f31653c932684e2c,sin-mitern28.cnf,unsat,unsat,81.387,527.39,22.788,1538.234,52.983,317.392,563.965,15.128,748.22,219.672
48e9f29a92930f1b367efc5754cb679b,af-synthesis_stb_50_80_7_sat.cnf,sat,sat,20.721,377.579,13.983,295.646,68.459,42.631,91.662,6.438,215.675,243.928
48eacbc152c7710dfd6fe17a8a17199e,SCPC-500-7.cnf,unsat,unsat,11.078,42.021,6.87,548.32,4.047,96.064,115.08,13.06,40.7,31.863
49f5d904bb2e762219287d33f5621971,ITC2021_Late_1.xml.cnf,sat,sat,8.744,99.558,31.597,26.158,10.917,25.26,28.994,8.474,337.336,87.809
4a85e090bda23cef9bf2aed55d489ab6,sin_depth_miter_5.cnf,unsat,unsat,797.925,10000.0,10000.0,758.657,1516.566,10000.0,10000.0,1297.279,10000.0,10000.0
4af0fbe3087b6e3ad54177e16b85ed06,grid-color-14-14-6-cb.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
4b45bebcc3f810b25cca2d16a1ff2084,hyp_cec_multi_3.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
4b537d3c18082eb884bf9429b8146214,gaussian.c.75.smt2-cvc4.cnf,sat,sat,97.815,10000.0,2540.017,259.804,111.85,618.826,173.792,127.646,2251.382,2315.711
4db2404ba78dda6f3bc89a2b03057fd2,intel036_Iter109.cnf,sat,sat,66.143,116.233,207.474,58.162,70.412,40.888,69.44,48.691,10000.0,428.258
4f888358cd62fe7bc602ea6882cdfc6d,bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,unsat,unsat,169.232,717.336,35.79,3326.462,256.591,777.231,1163.385,242.07,1205.451,554.181
5099718e4b5b8fe2ba7f8b919fdfde2d,satcoin-genesis-SAT-5.cnf,sat,sat,6.987,30.623,1.971,15.551,4.492,75.971,12.496,2.096,46.747,36.974
51dd2c14736f2d9164f749d6a633ccb5,j3045_10_mdd_bm1.cnf,unknown,unsat,10000.0,10000.0,2936.802,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
51e4929accfa3a0e68bff09974c7f0f4,SAT_MS_sat_nurikabe_p16.pddl_166.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
5237a944490aeead04c7a4539e6b44d2,SC22_Timetable_C_451_E_43_Cl_30_S_27.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
5457c05649be6f3bc4f743c5e6086a18,mdp-28-10-sat.cnf,sat,sat,248.322,194.517,19.996,1789.177,185.494,10.169,302.453,7.045,353.559,30.896
54d4838f065e6ca3579b357bc70ea566,div_miter_lec_4.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
5573681b2f40d5d8b30267ac59987e40,Carry_Bits_Fast_16.cnf.cnf,sat,sat,26.706,203.566,3.871,1541.252,25.297,52.284,20.527,5.142,3375.585,106.283
55add9c1c8ad002a0faa34ecf47919a1,SC22_Timetable_C_451_E_45_Cl_30_S_27.cnf,unknown,unknown,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
