hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
70af2c3bfd44bcf9baa2a9605f4a17fe,gensys-icl002.shuffled-as.sat05-2714.cnf.xz,unsat,unsat,5.95824,5.91681,5.7578,5.03291,81.2432,15.8648,13.6163,13.5237,13.5078,8.40788,29.7989,19.3067,15.396,16.5632,13.9471,10.4566,34.0499,11.7752,11.1283,9.47764,8.45569,10.9902,14.9975,8.01318,8.16625,8.63633,11.1414,15.9907
70c6bd806e874f16b7c6c999c847fe7b,toughsat_24bits_0.cnf.xz,sat,sat,121.329,130.941,122.687,80.3911,208.508,396.043,171.807,166.141,114.244,373.981,162.527,138.3,116.263,123.159,85.8757,278.86,134.91,214.528,207.091,106.737,146.602,183.078,396.666,381.373,265.111,245.186,118.701,114.148
70d67c4d9aeb1412df80f33a06121cb9,fermat-770131695059117.cnf.xz,sat,sat,1121.53,840.87,4015.93,197.829,10000.0,1671.92,2722.74,2652.43,1774.1,1549.22,1691.37,10000.0,10000.0,540.427,10000.0,201.57,2385.84,10000.0,1724.51,10000.0,1731.05,419.679,4264.27,2672.77,1137.71,3311.32,2633.72,1055.68
70dc3f80b9e937dd5db516b19615b6ec,barman-pfile10-040.sas.cr.17.cnf.xz,unsat,unsat,35.3826,34.1888,14.0633,32.1146,39.9718,6.07548,5.65753,5.57277,5.19195,8.78484,47.2291,39.9788,82.4149,214.849,172.769,15.0948,34.6293,5.14145,9.42422,42.9326,37.3764,6.78192,8.72713,8.63253,8.61718,11.4003,10.4542,5.4066
70e89d28be96804ce2d19a4f1e30147a,SGI_30_80_18_90_3-log.shuffled-as.sat03-194.cnf.xz,unknown,unsat,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
70eb308d7e2e22d03b7ea6c39a4cbf58,4pipe_3_ooo.cnf.xz,unsat,unsat,22.4969,21.8821,18.1831,20.4342,8.46118,4.05427,3.65985,3.66648,3.65758,18.5946,13.6624,14.2256,12.0439,8.6043,4.71401,3.53153,18.3752,3.77002,6.75398,6.69138,6.79855,3.65995,20.9053,17.9806,14.76,13.9194,3.83968,8.87184
70ef2b6bdc4101a0e35cf3d165571fe3,qwh.50.1250.shuffled-as.sat03-1655.cnf.xz,sat,sat,81.1026,79.6748,10.874,24.9681,30.1057,14.5965,48.5498,13.5691,13.4064,6.63834,50.093,17.0106,98.9065,33.3502,42.8982,68.7117,70.2544,30.4382,30.5084,141.946,61.3719,8.46231,7.38718,8.13963,5.58198,7.66467,12.982,22.8491
7101289c67f4c4ba117ad06ebb7d18a0,6s184.cnf.xz,unsat,unsat,675.545,635.687,598.396,468.024,10000.0,310.467,327.203,279.966,308.072,349.847,752.784,828.091,298.906,1490.79,1407.66,376.646,649.343,332.508,324.868,572.005,597.336,315.904,684.942,333.241,344.871,351.224,335.476,607.666
71270454196ae092b28d0a74300a85e1,Schur_161_5_d40.cnf.xz,unsat,unsat,3154.44,3250.62,2671.92,2500.24,10000.0,2643.78,2637.0,2947.17,2705.75,1518.18,1753.52,1863.55,1460.96,2973.94,2580.33,2241.12,2896.74,2832.82,2684.04,1785.38,2970.9,3200.09,1964.91,1315.95,1360.02,1263.42,3003.76,3945.3
712f343de1b9119452e2f65d64962fda,SGI_30_70_15_90_1-log.shuffled-as.sat03-137.cnf.xz,unsat,unsat,3763.17,3745.66,3396.82,3445.66,10000.0,3164.07,3288.03,3018.47,3226.14,4964.69,10000.0,10000.0,2695.54,10000.0,10000.0,2575.95,3881.0,3478.11,3277.88,4637.58,4431.08,3323.06,10000.0,4742.81,3998.94,4104.97,3212.9,10000.0
