hash,benchmark,verified-result,claimed-result,mallob-kicaliglu,paracooba
3fb045f58aaf394165735c39c49fad92,linked_list_swap_contents_safety_unwind56.cnf,unsat,unsat,40.532,419.047
3fb297f59ad2dc32fd3f79d61951d8cb,Carry_Bits_Fast_4.cnf.cnf,sat,sat,2.418,5.185
3ff263696219ca9e301b0a1b345eb9aa,SCPC-500-4.cnf,unsat,unsat,4.512,119.279
41423c03ef173a5b81d6e6776f316fa5,PancakeVsInsertSort_7_8.cnf,unsat,unsat,33.539,2000.0
4348c6b9af237291558b154a9de82969,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_aad.cnf,unsat,unsat,144.807,2000.0
43687a48fb119ca61b47c2fc69a71e7d,manthey_single-ordered-initialized-w42-b8.cnf,unsat,unsat,7.519,181.544
436d00b6d41912e800e9855d08c75139,manol-pipe-f7nidw.cnf,unsat,unsat,14.317,31.729
4408f3ebfc37275a23ef57cfcc8aba6d,aws-encryption-sdk-c:aws_cryptosdk_priv_hdr_parse_content_type.cnf,unsat,unsat,38.423,281.989
44ed91b4ca5a5d8323cab4c268d81fd1,grid-color-12-14-12-cb.cnf,sat,sat,6.433,2000.0
4501f9a0e9fab5d5cff7133022b1f780,50bits_11.dimacs.cnf,sat,sat,6.604,72.896
4513c58c16e72a34f9f8518db7baeb9e,ktf_TF-3.tf_3_0.02_24.cnf,unsat,unsat,17.528,249.261
4551c996fc6f5fbe62b43076abb25077,knight_18.cnf,sat,sat,111.299,2000.0
45784477d3143f470c0bd0137a1c01ed,sum_of_three_cubes_still_open.cnf,unknown,unknown,2000.0,2000.0
45ec40c74fdbf2fe41122ac1e31e6c8e,worker_30_120_30_0.8.cnf,unknown,unsat,2000.0,2000.0
47135a1fd4c86afbfec0c7879c45268b,SC22_Timetable_C_451_E_46_Cl_30_S_27.cnf,sat,sat,94.093,2000.0
47a1a6f5687ed19c5c0f77c2c81f3f81,tseitin_grid_n14_m14.cnf,unknown,unsat,2.403,2000.0
488b147304549670f31653c932684e2c,sin-mitern28.cnf,unsat,unsat,7.507,149.964
48e9f29a92930f1b367efc5754cb679b,af-synthesis_stb_50_80_7_sat.cnf,sat,sat,5.221,211.349
48eacbc152c7710dfd6fe17a8a17199e,SCPC-500-7.cnf,unsat,unsat,5.412,103.414
49f5d904bb2e762219287d33f5621971,ITC2021_Late_1.xml.cnf,sat,sat,4.315,47.51
4a85e090bda23cef9bf2aed55d489ab6,sin_depth_miter_5.cnf,unsat,unsat,194.483,2000.0
4af0fbe3087b6e3ad54177e16b85ed06,grid-color-14-14-6-cb.cnf,unknown,unknown,2000.0,2000.0
4b45bebcc3f810b25cca2d16a1ff2084,hyp_cec_multi_3.cnf,unknown,unknown,2000.0,2000.0
4b537d3c18082eb884bf9429b8146214,gaussian.c.75.smt2-cvc4.cnf,sat,sat,17.432,220.884
4db2404ba78dda6f3bc89a2b03057fd2,intel036_Iter109.cnf,sat,sat,15.346,63.609
4f888358cd62fe7bc602ea6882cdfc6d,bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,unsat,unsat,19.824,32.01
5099718e4b5b8fe2ba7f8b919fdfde2d,satcoin-genesis-SAT-5.cnf,sat,sat,2.704,35.624
51dd2c14736f2d9164f749d6a633ccb5,j3045_10_mdd_bm1.cnf,unknown,unsat,273.522,2000.0
51e4929accfa3a0e68bff09974c7f0f4,SAT_MS_sat_nurikabe_p16.pddl_166.cnf,unknown,unknown,2000.0,2000.0
5237a944490aeead04c7a4539e6b44d2,SC22_Timetable_C_451_E_43_Cl_30_S_27.cnf,unknown,unknown,2000.0,2000.0
5457c05649be6f3bc4f743c5e6086a18,mdp-28-10-sat.cnf,sat,sat,3.408,243.597
54d4838f065e6ca3579b357bc70ea566,div_miter_lec_4.cnf,unknown,unknown,2000.0,2000.0
5573681b2f40d5d8b30267ac59987e40,Carry_Bits_Fast_16.cnf.cnf,sat,sat,2.613,57.078
