hash,benchmark,verified-result,claimed-result,CaDiCaL_DVDL_V1,CaDiCaL_DVDL_V2,CadicalReorder,Cadical_ESA,IsaSAT,Kissat_MAB-HyWalk,Kissat_MAB_ESA,Kissat_MAB_MOSS,Kissat_MAB_UCB,Kissat_adaptive_restart,LSTech_Maple,LStech-Maple-HyWalk,MapleLCMDistChrBt-DL-v3,SLIME SC-2022,SLIME SC-2022-beta,SeqFROST-NoExtend,cadical_rel_Scavel,ekissat-mab-db-v1,ekissat-mab-gb-db,glucose-reboot,hCaD_V1-psids,hKis-unsat,kissat-els-v1,kissat-els-v2,kissat-sc2022-bulky,kissat-sc2022-light,kissat_inc,kissat_relaxed
b9a688ab96cb1847b4ab2288ad6354fb,smtlib-qfbv-aigs-nlzbe256-tseitin.cnf.xz,unsat,unsat,71.2416,71.2118,56.0647,70.0537,70.3157,41.9152,38.7001,39.2717,38.6816,70.0946,41.3462,38.3265,43.0071,33.0675,16.7945,6.99618,74.0365,37.8186,33.6868,8.78102,87.0629,27.0428,52.3308,62.8299,28.6401,77.8595,34.3005,65.3348
b9bd54b8bef204bdafa168f9a52e0fee,queueinvar20.cnf.xz,unsat,unsat,0.858503,0.866959,0.923631,0.772161,0.680881,1.14373,1.15059,1.15395,1.15332,0.655705,3.02301,1.69538,12.1775,9.17149,1.59558,0.544503,37.6307,1.19716,0.989849,0.574298,0.896055,0.68098,0.532046,0.624812,0.704825,0.583493,0.980037,2.05511
b9e8b9a81de71e12018fb63da04183e4,slp-synthesis-aes-bottom15.cnf.xz,unsat,unsat,1070.71,1061.16,623.303,969.9,10000.0,1110.77,889.354,1168.81,871.506,624.594,4449.44,2696.2,3278.06,2573.65,3712.44,736.795,934.95,950.548,810.611,4731.21,1051.71,768.269,962.718,958.58,745.274,609.301,857.571,2863.98
ba34ced1c3399d654c0e8551d74aae0a,shift1add.13988.cnf.xz,unsat,unsat,16.967,17.0349,19.1693,5.97537,344.204,3.94918,3.95452,3.9174,3.90962,11.7711,10000.0,10000.0,10000.0,8.07126,7.37714,18.4165,16.997,4.37749,3.99864,116.936,212.442,5.94171,9.51176,10.6975,9.07748,10.6882,4.36509,4.14175
ba54fd9b82fcff622908a2da72b37b45,SAT_dat.k95-24_1_rule_1.cnf.xz,unsat,unsat,2402.78,2409.12,2223.06,2473.54,10000.0,1747.24,1565.29,1445.08,1632.72,1879.56,10000.0,10000.0,3442.91,10000.0,10000.0,3545.27,2403.99,1581.33,1538.51,10000.0,2747.9,1728.34,2029.54,1841.5,1591.97,2729.2,1676.04,10000.0
ba6d0175fb9e9fb9c455d574cbbb373d,grid-pbl-0300.shuffled-as.sat05-1350.shuffled-as.sat05-1350.cnf.xz,unsat,unsat,2.71297,2.71733,3.85056,2.62676,10000.0,4.09287,5.69027,3.32101,3.29857,44.2261,10000.0,10000.0,10000.0,10000.0,10000.0,56.3316,2.40303,3.48219,3.59671,0.857861,2.39181,2.93594,46.0809,46.5797,35.385,38.8878,3.58353,17.5136
ba97293d0bed8132f29432ec9c8722c6,Paley17-k10.cnf.xz,unsat,unsat,847.583,1142.33,2853.21,1022.89,2853.87,768.228,775.949,755.967,875.652,1195.51,663.542,697.621,539.274,529.255,624.615,310.729,955.772,826.16,741.44,327.503,1134.9,789.441,859.316,922.241,635.593,863.167,793.715,1321.7
bafe29b777d8546e978ca83952bdcf88,uts-l05-ipc5-h27-unknown.cnf.xz,unsat,unsat,12.0833,12.1721,12.0122,11.8864,95.0542,15.3754,16.9423,16.6915,16.7274,28.5764,35.6221,19.9573,28.3523,63.1589,43.2503,10.8926,11.227,17.4537,18.8721,16.8262,13.071,14.4258,29.3547,26.3602,20.3286,16.2597,16.1631,23.339
bb0e52bdee5a6d247eb2e6d8f5ae6fd2,6s10.cnf.xz,unsat,unsat,443.964,604.216,557.627,286.639,10000.0,343.37,302.062,297.841,339.936,328.244,814.882,922.283,288.95,697.601,1400.78,316.499,451.122,297.654,298.623,464.887,376.391,250.289,468.37,320.813,330.597,386.785,350.139,521.902
bb238c2031e18c06643d42269d123c4a,mp1-blockpuzzle_9x9_s8_free3.cnf.xz,unsat,unsat,1140.5,1817.18,1378.36,1122.34,567.654,458.552,342.193,358.209,341.997,2978.82,125.483,210.671,152.183,122.845,147.856,406.082,1168.07,297.349,354.306,138.156,469.861,370.542,4180.81,10000.0,834.582,742.041,373.613,564.959
bb34f22f50ac97cee40bbc48e0ab8bb2,cmu-bmc-longmult15.cnf.xz,unsat,unsat,14.0923,14.0794,11.5742,15.2775,26.8987,4.79985,4.4899,4.43991,4.4908,12.2198,25.1457,29.7176,31.8986,25.6742,19.0763,5.51911,13.2496,5.57964,4.10635,11.018,10.0275,2.55267,12.7851,13.0645,13.9116,11.6899,5.33489,8.93218
bbf2fcdbfa75d06d2e28082357278749,g7n.cnf.xz,unsat,unsat,1.24749,1.24553,1.35681,2.27506,7.63609,1.48883,1.50813,1.50696,1.50604,2.96377,3.24144,4.36161,6.91306,6.94354,2.33774,0.647676,1.20829,1.54156,1.65269,2.10728,1.49169,1.45401,3.17029,3.10223,3.2492,2.72614,1.64832,1.69502
bc1a57d3db29650ab188fc14894b1881,manthey_single-ordered-initialized-w44-b8.cnf.xz,unsat,unsat,408.332,448.433,425.934,465.351,1273.4,474.806,444.781,497.146,479.192,337.192,433.0,454.205,380.445,391.402,335.615,425.132,451.918,474.468,420.766,237.416,333.959,416.315,424.367,390.92,331.693,338.546,466.69,385.119
bc5261f21ea0214543370d2278ae6ecf,hwb-n28-03-S1967922763.shuffled-as.sat03-1629.cnf.xz,unsat,unsat,4656.48,4492.65,10000.0,4415.59,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3737.84,2934.88,2382.26,4994.02,3821.16,4668.68,10000.0,10000.0,10000.0,10000.0,10000.0,4952.56,10000.0,10000.0,10000.0,3949.95,4678.98,10000.0
bc71c439e136607aadbbac91cc34d378,ecarev-110-1031-23-40-3.cnf.xz,unsat,unsat,14.3793,14.3414,17.8798,11.8294,1340.82,333.802,212.156,131.613,338.997,70.2388,104.768,94.8468,69.274,250.575,210.31,20.8166,13.1613,18.9516,266.553,344.835,16.7253,230.497,253.11,130.11,106.558,97.3875,119.959,121.708
bc895df6a129123e196ab5912ea44d02,eq.atree.braun.12.unsat.cnf.xz,unsat,unsat,3595.19,3076.75,2864.33,3774.93,10000.0,10000.0,3458.95,10000.0,10000.0,2170.76,2140.72,2645.11,1159.85,3323.6,3243.47,4027.79,2975.02,10000.0,10000.0,2899.7,10000.0,3494.02,4161.17,1552.39,1407.96,3538.89,10000.0,10000.0
bc8d0033bba87fe7d5016180a87d1afd,peb-pyrofpyr-14-neq-3_shuffled.cnf.xz,unsat,unsat,242.966,238.454,207.307,192.471,10000.0,116.564,124.006,121.767,119.597,180.617,418.737,531.314,122.551,497.624,591.502,228.586,203.153,128.389,120.05,313.806,230.904,143.942,175.969,194.437,166.571,146.308,130.8,536.956
bcb2104a3558d87ac3b2107c10d54648,mp1-blockpuzzle_5x12_s6_free3.cnf.xz,unsat,unsat,1464.81,1424.4,1604.93,1204.15,1486.08,493.671,327.332,524.249,479.56,1112.19,125.775,216.461,190.276,187.503,246.868,319.386,1235.98,456.993,483.103,372.375,484.016,430.15,1503.32,1238.33,733.345,597.15,456.158,1217.16
